NC_015762.1_411;NC_015777.1_18125;NC_015768.1_8751;NC_015771.1_12324;NC_015765.1_6073;NC_015772.1_14283;NC_015775.1_15859;NW_003565985.1_26226;NC_015776.1_17019;NC_015762.1_1265;NC_015777.1_17856;NC_015769.1_10192;NW_003566384.1_33820;NC_015772.1_14088;NC_015767.1_7711;NC_015771.1_11753;NC_015767.1_7794;NC_015763.1_1766;NC_015771.1_11899;NC_015773.1_14613;NC_015776.1_17233;NC_015779.1_19264;NW_003566135.1_29581;NC_015771.1_11678;MC65_None;bte-mir-2788_MI0016140;bte-mir-3715_MI0016227;MC37_None
LOC100647719;0;0;0;0;0;0;0;-0.871657984815906;0;0;-0.909112021089604;0;0;0;-0.905076190119375;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647775;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648166;0;0;0;0;0;0;0;-0.849788747200091;0;0;-0.905659894364192;0;0;0;-0.913746534524054;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648328;0;0;0;0;0;0;0;-0.858692767165885;0;0;-0.904064131729414;0;0;0;-0.92288956632294;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
