NC_015762.1_411;NC_015777.1_18125;NC_015768.1_8751;NC_015771.1_11825;NC_015772.1_14283;NC_015773.1_14909;NC_015778.1_18507;NC_015775.1_15859;NW_003565985.1_26226;NC_015777.1_17843;NC_015769.1_10192;NC_015770.1_11556;NC_015773.1_15238;NC_015778.1_18720;NW_003566858.1_37709;NC_015765.1_5591;NC_015770.1_10730;NW_003566135.1_29581;NC_015769.1_10121;NC_015762.1_1236;NC_015771.1_11678;bte-mir-1_MI0001575;MC65_None;bte-mir-9a_MI0001596;bte-bantam_MI0001574_;bte-mir-125_MI0001578;bte-mir-279b_MI0016201;MC37_None
LOC100647093;0;0;0;0;0;0;0;0;-0.890411997579718;0;0;0;0;0;0;0;0;0;0;0;0;-0.930912555879175;0;-0.926286026950713;-0.926049836121766;-0.917809934911836;0;0
LOC100647107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647387;0.896229365613964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647436;0;0;0;0;0;0;0;0;-0.924999155250437;0;0;0;0;0;0;0;0;0;0;0;0;-0.934287577835179;0;-0.936236002810822;-0.932922311717808;-0.94255713528557;0;0
LOC100647486;0;0;0;0;0;0;0;0;-0.93952478320379;0;0;0;0;0;0;0;0;0;0;0;0;-0.952996116538259;0;-0.951153205658872;-0.941872899852465;-0.958695228281165;0;0
LOC100647596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647766;0;0;0;0;0;0;0;0;-0.903207923316298;0;0;0;0;0;0;0;0;0;0;0;0;-0.94842900158151;0;-0.932600334004002;-0.938059018601774;-0.921607828357904;0;0
LOC100647996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648085;0.823512574264778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648089;0;0;0;0;0;0;0.819685948733858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.805924828068777;0
LOC100648203;0.831771454933657;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648256;0;0;0;0;0;0;0;0;-0.918624467760096;0;0;0;0;0;0;0;0;0;0;0;0;-0.943614423786569;0;-0.936595015898207;-0.933868289789353;-0.938922299470992;0;0
LOC100648395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100648452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
